current_time,tau,p_motor,rpm
0.462308,0.000000,0.000000,0.000000
0.464849,0.000000,0.000000,0.000000
0.467766,0.000000,0.000000,0.000000
0.470489,0.000000,0.000000,0.000000
0.472789,0.000000,0.000000,0.000000
0.475052,0.000000,0.000000,0.000000
0.477690,0.000000,0.000000,0.000000
0.480305,0.000000,0.000000,0.000000
0.483417,0.000000,0.000000,0.000000
0.486644,0.000000,0.000000,0.000000
0.489748,0.000000,0.000000,0.000000
0.492372,0.000000,0.000000,0.000000
0.494967,0.000000,0.000000,0.000000
0.497419,0.000000,0.000000,0.000000
0.499762,0.000000,0.000000,0.000000
0.502048,0.000000,0.000000,0.000000
0.504283,0.000000,0.000000,0.000000
0.506561,0.000000,0.000000,0.000000
0.508819,0.000000,0.000000,0.000000
0.511546,0.000000,0.000000,0.000000
0.514477,0.000000,0.000000,0.000000
0.517315,0.000000,0.000000,0.000000
0.519728,0.000000,0.000000,0.000000
0.522166,0.000000,0.000000,0.000000
0.524544,0.000000,0.000000,0.000000
0.526799,0.000000,0.000000,0.000000
0.529175,0.000000,0.000000,0.000000
0.531343,0.000000,0.000000,0.000000
0.533683,0.000000,0.000000,0.000000
0.536103,0.000000,0.000000,0.000000
0.538621,0.000000,0.000000,0.000000
0.540986,0.000000,0.000000,0.000000
0.543335,0.000000,0.000000,0.000000
0.545867,0.000000,0.000000,0.000000
0.548555,0.000000,0.000000,0.000000
0.551100,0.000000,0.000000,0.000000
0.553402,0.000000,0.000000,0.000000
0.555700,0.000000,0.000000,0.000000
0.557938,0.000000,0.000000,0.000000
0.560469,0.000000,0.000000,0.000000
0.562590,0.000000,0.000000,0.000000
0.565436,0.000000,0.000000,0.000000
0.568172,0.000000,0.000000,0.000000
0.571579,0.000000,0.000000,0.000000
0.573970,0.000000,0.000000,0.000000
0.576102,0.000000,0.000000,0.000000
0.578764,0.000000,0.000000,0.000000
0.581536,0.000000,0.000000,0.000000
0.584060,0.000000,0.000000,0.000000
0.586798,0.000000,0.000000,0.000000
0.589248,0.000000,0.000000,0.000000
0.591875,0.000000,0.000000,0.000000
0.594520,0.000000,0.000000,0.000000
0.597141,0.000000,0.000000,0.000000
0.599445,0.000000,0.000000,0.000000
0.601889,0.000000,0.000000,0.000000
0.604273,0.000000,0.000000,0.000000
0.606436,0.000000,0.000000,0.000000
0.608498,0.000000,0.000000,0.000000
0.610707,0.000000,0.000000,0.000000
0.613292,0.000000,0.000000,0.000000
0.615691,0.000000,0.000000,0.000000
0.618493,0.000000,0.000000,0.000000
0.620958,0.000000,0.000000,0.000000
0.623254,0.000000,0.000000,0.000000
0.625406,0.000000,0.000000,0.000000
0.627941,0.000000,0.000000,0.000000
0.630042,0.000000,0.000000,0.000000
0.631953,0.000000,0.000000,0.000000
0.634456,0.000000,0.000000,0.000000
0.636784,0.000000,0.000000,0.000000
0.639445,0.000000,0.000000,0.000000
0.641634,0.000000,0.000000,0.000000
0.643996,0.000000,0.000000,0.000000
0.646540,0.000000,0.000000,0.000000
0.648807,0.000000,0.000000,0.000000
0.651596,0.000000,0.000000,0.000000
0.654124,0.000000,0.000000,0.000000
0.656356,0.000000,0.000000,0.000000
0.658499,0.000000,0.000000,0.000000
0.660564,0.000000,0.000000,0.000000
0.663057,0.000000,0.000000,0.000000
0.665155,0.000000,0.000000,0.000000
0.667398,0.000000,0.000000,0.000000
0.669597,0.000000,0.000000,0.000000
0.671614,0.000000,0.000000,0.000000
0.673648,0.000000,0.000000,0.000000
0.675698,0.000000,0.000000,0.000000
0.678458,0.000000,0.000000,0.000000
0.680790,0.000000,0.000000,0.000000
0.684927,0.000000,0.000000,0.000000
0.688048,0.000000,0.000000,0.000000
0.690205,0.000000,0.000000,0.000000
0.692433,0.000000,0.000000,0.000000
0.694581,0.000000,0.000000,0.000000
0.696581,0.000000,0.000000,0.000000
0.698712,0.000000,0.000000,0.000000
0.700823,0.000000,0.000000,0.000000
0.702923,0.000000,0.000000,0.000000
0.705128,0.000000,0.000000,0.000000
0.707447,0.000000,0.000000,0.000000
0.710000,0.000000,0.000000,0.000000
0.712347,0.000000,0.000000,0.000000
0.715138,0.000000,0.000000,0.000000
0.717497,0.000000,0.000000,0.000000
0.720018,0.000000,0.000000,0.000000
0.722208,0.000000,0.000000,0.000000
0.724322,0.000000,0.000000,0.000000
0.726348,0.000000,0.000000,0.000000
0.728451,0.000000,0.000000,0.000000
0.730514,0.000000,0.000000,0.000000
0.732481,0.000000,0.000000,0.000000
0.734643,0.000000,0.000000,0.000000
0.736594,0.000000,0.000000,0.000000
0.738645,0.000000,0.000000,0.000000
0.741092,0.000000,0.000000,0.000000
0.743605,0.000000,0.000000,0.000000
0.746442,0.000000,0.000000,0.000000
0.748835,0.000000,0.000000,0.000000
0.751298,0.000000,0.000000,0.000000
0.753688,0.000000,0.000000,0.000000
0.756005,0.000000,0.000000,0.000000
0.757995,0.000000,0.000000,0.000000
0.759960,0.000000,0.000000,0.000000
0.762010,0.000000,0.000000,0.000000
0.763960,0.000000,0.000000,0.000000
0.766025,0.000000,0.000000,0.000000
0.768740,0.000000,0.000000,0.000000
0.770863,0.000000,0.000000,0.000000
0.773286,0.000000,0.000000,0.000000
0.776246,0.000000,0.000000,0.000000
0.779346,0.000000,0.000000,0.000000
0.782673,0.000000,0.000000,0.000000
0.784874,0.000000,0.000000,0.000000
0.786970,0.000000,0.000000,0.000000
0.789044,0.000000,0.000000,0.000000
0.791065,0.000000,0.000000,0.000000
0.793161,0.000000,0.000000,0.000000
0.795217,0.000000,0.000000,0.000000
0.797903,0.000000,0.000000,0.000000
0.800305,0.000000,0.000000,0.000000
0.802290,0.000000,0.000000,0.000000
0.804583,0.000000,0.000000,0.000000
0.807011,0.000000,0.000000,0.000000
0.809263,0.000000,0.000000,0.000000
0.811512,0.000000,0.000000,0.000000
0.813718,0.000000,0.000000,0.000000
0.815987,0.000000,0.000000,0.000000
0.819009,0.000000,0.000000,0.000000
0.821707,0.000000,0.000000,0.000000
0.823627,0.000000,0.000000,0.000000
0.825751,0.000000,0.000000,0.000000
0.828214,0.000000,0.000000,0.000000
0.830511,0.000000,0.000000,0.000000
0.832561,0.000000,0.000000,0.000000
0.834691,0.000000,0.000000,0.000000
0.837194,0.000000,0.000000,0.000000
0.839499,0.000000,0.000000,0.000000
0.842206,0.000000,0.000000,0.000000
0.844807,0.000000,0.000000,0.000000
0.847175,0.000000,0.000000,0.000000
0.849383,0.000000,0.000000,0.000000
0.851722,0.000000,0.000000,0.000000
0.853822,0.000000,0.000000,0.000000
0.855829,0.000000,0.000000,0.000000
0.857842,0.000000,0.000000,0.000000
0.859798,0.000000,0.000000,0.000000
0.862008,0.000000,0.000000,0.000000
0.863980,0.000000,0.000000,0.000000
0.866022,0.000000,0.000000,0.000000
0.868584,0.000000,0.000000,0.000000
0.871321,0.000000,0.000000,0.000000
0.873994,0.000000,0.000000,0.000000
0.876395,0.000000,0.000000,0.000000
0.878883,0.000000,0.000000,0.000000
0.881186,0.000000,0.000000,0.000000
0.883213,0.000000,0.000000,0.000000
0.885247,0.000000,0.000000,0.000000
0.887188,0.000000,0.000000,0.000000
0.889161,0.000000,0.000000,0.000000
0.891183,0.000000,0.000000,0.000000
0.893283,0.000000,0.000000,0.000000
0.895616,0.000000,0.000000,0.000000
0.897744,0.000000,0.000000,0.000000
0.900134,0.000000,0.000000,0.000000
0.902473,0.000000,0.000000,0.000000
0.905599,0.000000,0.000000,0.000000
0.908043,0.000000,0.000000,0.000000
0.910503,0.000000,0.000000,0.000000
0.912639,0.000000,0.000000,0.000000
0.914754,0.000000,0.000000,0.000000
0.916805,0.000000,0.000000,0.000000
0.918819,0.000000,0.000000,0.000000
0.920892,0.000000,0.000000,0.000000
0.922925,0.000000,0.000000,0.000000
0.925064,0.000000,0.000000,0.000000
0.927227,0.000000,0.000000,0.000000
0.929408,0.000000,0.000000,0.000000
0.931710,0.000000,0.000000,0.000000
0.933991,0.000000,0.000000,0.000000
0.936306,0.000000,0.000000,0.000000
0.938563,0.000000,0.000000,0.000000
0.941238,0.000000,0.000000,0.000000
0.943414,0.000000,0.000000,0.000000
0.945694,0.000000,0.000000,0.000000
0.947821,0.000000,0.000000,0.000000
0.949853,0.000000,0.000000,0.000000
0.951812,0.000000,0.000000,0.000000
0.953847,0.000000,0.000000,0.000000
0.955805,0.000000,0.000000,0.000000
0.957833,0.000000,0.000000,0.000000
0.959862,0.000000,0.000000,0.000000
0.962306,0.000000,0.000000,0.000000
0.965780,0.000000,0.000000,0.000000
